2018/05/16 21:15:26 [error] 6#6: *5421 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5419 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5417 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5413 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *5411 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *6071 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:26 [error] 6#6: *6073 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:29 [error] 6#6: *5679 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:29 [error] 6#6: *5677 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:29 [error] 6#6: *5675 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
